OBJECTID,linqmap_type,linqmap_subtype,pubDate,linqmap_reportDescription,linqmap_city,linqmap_street,linqmap_nearby,linqmap_roadType,linqmap_reportMood,linqmap_reportRating,linqmap_expectedBeginDate,linqmap_expectedEndDate,linqmap_magvar,nComments,linqmap_reliability,update_date,x,y
145937,ROAD_CLOSED,ROAD_CLOSED_EVENT,03/22/2022 09:58:06,,תל אביב - יפו,מאנגר איציק,,1,0,0,,,0,0,10,1652802782830,179116.38999999966,665972.2300000004
174319,WEATHERHAZARD,HAZARD_ON_ROAD_CONSTRUCTION,05/18/2022 01:48:56,,,20 איילון דרום,,3,0,5,,,183,0,7,1652838782334,180604.16000000012,664486.9700000007
174077,ROAD_CLOSED,ROAD_CLOSED_EVENT,05/17/2022 10:00:02,,חולון,שד ירושלים,,2,0,0,,,0,0,6,1652838782256,180618.8200000003,657705.8399999999
151346,JAM,,05/17/2022 16:25:24,,,5 מזרח,,3,0,5,,,110,0,5,1652806383024,194908.0,669097.0
174697,ROAD_CLOSED,ROAD_CLOSED_EVENT,05/17/2022 14:00:02,,תל אביב - יפו,החרש,,2,0,0,,,0,0,6,1652839383510,179696.1799999997,662499.6600000001
174715,ROAD_CLOSED,ROAD_CLOSED_EVENT,05/17/2022 09:00:03,,תל אביב - יפו,דרך בגין,,2,0,0,,,0,0,6,1652839383515,179404.41000000015,663471.5099999998
17011,WEATHERHAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,05/15/2022 09:49:07,,,1 מערב,,3,0,5,,,334,0,10,1652608382461,193615.9699999997,647164.2599999998
174680,ROAD_CLOSED,ROAD_CLOSED_EVENT,05/17/2022 09:00:03,,אשדוד,יהודה הלוי,,2,0,0,,,0,0,6,1652839383505,167042.24000000022,633549.8699999992
37660,ROAD_CLOSED,ROAD_CLOSED_EVENT,11/16/2021 06:00:01,,תל אביב - יפו,בן סרוק,,1,0,0,,,0,0,10,1652637182485,179748.33000000007,666135.5099999998
126240,JAM,,05/17/2022 08:51:01,,גבעתיים,"הל""ה",,2,0,5,,,266,0,5,1652777583048,182010.58000000007,664539.6500000004
155966,JAM,JAM_STAND_STILL_TRAFFIC,05/17/2022 17:27:31,,,20 איילון דרום,,3,0,4,,,177,0,6,1652809983845,177633.79000000004,658334.6799999997
12852,ROAD_CLOSED,ROAD_CLOSED_EVENT,02/22/2022 15:00:03,,אור יהודה,האיריס,,1,0,0,,,0,0,10,1653382383018,187687.1200000001,659857.8300000001
174553,WEATHERHAZARD,HAZARD_ON_ROAD_CONSTRUCTION,02/07/2021 03:00:00,חסר מידע,,,,0,0,0,,,0,0,10,1652839383465,178825.86000000034,665089.1799999997
145884,WEATHERHAZARD,HAZARD_ON_ROAD_CAR_STOPPED,05/17/2022 15:47:43,,מודיעין-מכבים-רעות,שד החשמונאים,,2,0,5,,,313,0,7,1652802782815,199944.96,642040.6899999995
174572,ROAD_CLOSED,ROAD_CLOSED_EVENT,02/06/2022 09:05:17,,תל אביב - יפו,שד ירושלים,,2,0,0,,,0,0,10,1652839383470,177366.4400000004,661908.0899999999
180126,JAM,JAM_HEAVY_TRAFFIC,05/18/2022 07:18:00,,,444 דרום,,6,0,5,,,212,0,8,1652860382722,195199.7999999998,664646.3599999994
133009,JAM,JAM_STAND_STILL_TRAFFIC,05/17/2022 10:47:54,,,41 מערב,,6,0,5,,,301,0,5,1652784782464,171217.20999999996,637646.5899999999
180422,JAM,JAM_STAND_STILL_TRAFFIC,05/18/2022 07:48:52,,קריית אונו,לוי אשכול,,2,0,5,,,184,0,5,1652860382816,187329.75,662224.1799999997
180115,JAM,JAM_HEAVY_TRAFFIC,05/18/2022 07:45:16,,פתח תקווה,היבנר,,1,0,5,,,291,0,5,1652860382717,188254.1500000004,665276.3200000003
12665,JAM,JAM_STAND_STILL_TRAFFIC,05/24/2022 08:43:33,,,1 מערב,,3,0,5,,,308,0,6,1653382382959,184664.50999999975,657249.9800000004
180127,JAM,JAM_MODERATE_TRAFFIC,05/18/2022 07:27:37,,,41 מערב,,6,0,5,,,249,0,6,1652860382722,170534.70999999996,637605.8100000005
186662,JAM,JAM_HEAVY_TRAFFIC,05/18/2022 08:50:18,,,5700,,7,0,5,,,293,0,5,1652863982922,190775.9699999997,695385.3800000008
139653,ROAD_CLOSED,ROAD_CLOSED_EVENT,05/15/2022 23:37:39,,יהוד-מונוסון,,,1,0,0,,,0,0,6,1652795582391,190137.86000000036,659584.3200000003
21368,WEATHERHAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,05/15/2022 11:36:16,,,ל-1 ירושלים,,4,0,5,,,128,0,10,1652615582155,198874.83999999985,638246.8000000007
135263,WEATHERHAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,05/17/2022 11:49:48,,,1 מזרח,,3,0,5,,,130,0,8,1652788382370,183693.91999999995,658003.7200000007
135299,ROAD_CLOSED,ROAD_CLOSED_EVENT,03/07/2022 21:14:58,,תל אביב - יפו,לוינסקי,,17,0,0,,,0,0,6,1652788382382,178698.5599999996,663005.4399999995
125551,JAM,JAM_HEAVY_TRAFFIC,05/17/2022 08:48:15,,תל אביב - יפו,דבורה הנביאה,,2,0,5,,,111,0,5,1652777582810,184683.21,669555.7300000004
29992,JAM,JAM_STAND_STILL_TRAFFIC,05/15/2022 15:47:31,,תל אביב - יפו,"מזא""ה",,1,0,5,,,120,0,5,1652629982444,179267.8200000003,663676.1799999997
19844,ROAD_CLOSED,ROAD_CLOSED_EVENT,05/04/2022 18:24:20,,יהוד-מונוסון,,,1,0,0,,,0,0,10,1653389582527,189613.1399999997,659628.6600000001
76039,ROAD_CLOSED,ROAD_CLOSED_EVENT,05/07/2022 19:00:04,,תל אביב - יפו,יהודית,,2,0,0,,,0,0,6,1652701982281,180344.96,664164.5899999999
