OBJECTID,linqmap_type,linqmap_subtype,pubDate,linqmap_reportDescription,linqmap_city,linqmap_street,linqmap_nearby,linqmap_roadType,linqmap_reportMood,linqmap_reportRating,linqmap_expectedBeginDate,linqmap_expectedEndDate,linqmap_magvar,nComments,linqmap_reliability,update_date,x,y
16519,JAM,JAM_STAND_STILL_TRAFFIC,05/15/2022 09:31:17,,,443 מערב,,6,0,5,,,272,0,7,1652608382307,197236.3200000003,650361.5700000003
16520,WEATHERHAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,05/15/2022 09:43:09,,פלמחים,,,2,0,5,,,174,0,6,1652608382309,173578.8200000003,649010.7300000004
16521,JAM,JAM_STAND_STILL_TRAFFIC,05/15/2022 09:40:57,,,ל-6 דרום,,4,0,5,,,209,0,7,1652608382310,196444.1900000004,679037.7400000002
16522,ACCIDENT,,05/15/2022 09:28:38,,פתח תקווה,,,20,0,5,,,60,0,5,1652608382310,189858.74000000022,668371.1199999992
16523,JAM,JAM_STAND_STILL_TRAFFIC,05/15/2022 09:37:25,,גבעתיים,בן גוריון,,2,0,5,,,13,0,6,1652608382310,183121.4400000004,665120.9600000009
16524,JAM,JAM_STAND_STILL_TRAFFIC,05/15/2022 09:50:03,,,44 צפון,,6,0,5,,,292,0,5,1652608382311,188724.04000000004,648404.3100000005
16525,JAM,JAM_STAND_STILL_TRAFFIC,05/15/2022 09:19:19,,,2 דרום,,3,0,5,,,198,0,7,1652608382311,188532.73000000045,694510.0800000001
16526,ROAD_CLOSED,ROAD_CLOSED_EVENT,04/05/2022 09:56:53,,רמת גן,תלפיות,,1,0,0,,,0,0,10,1652608382311,182329.61000000034,665960.5199999996
16527,WEATHERHAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,05/15/2022 09:50:53,,,6 דרום,,3,0,5,,,198,0,10,1652608382311,198699.38999999966,683382.25
16528,JAM,JAM_HEAVY_TRAFFIC,05/15/2022 09:21:10,,,2 דרום,,3,0,5,,,153,0,9,1652608382312,188666.84999999963,695586.6600000001
16529,WEATHERHAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,05/15/2022 09:47:37,,,471 מערב,,3,0,5,,,265,0,10,1652608382313,191893.65000000037,663823.5099999998
16530,ROAD_CLOSED,ROAD_CLOSED_EVENT,05/04/2022 18:24:20,,יהוד-מונוסון,,,1,0,0,,,0,0,10,1652608382314,189613.13999999966,659628.6600000001
16531,JAM,JAM_MODERATE_TRAFFIC,05/15/2022 09:27:02,,,2 דרום,,3,0,5,,,204,0,6,1652608382314,188249.4299999997,693706.5199999996
16532,JAM,JAM_STAND_STILL_TRAFFIC,05/15/2022 09:14:55,,,6 צפון,,3,0,5,,,27,0,6,1652608382314,193814.41000000015,651086.5299999993
16533,JAM,JAM_STAND_STILL_TRAFFIC,05/15/2022 09:41:13,,,ל- 2 חיפה,,4,0,5,,,335,0,5,1652608382314,184429.33000000007,678102.3800000008
16534,JAM,JAM_STAND_STILL_TRAFFIC,05/15/2022 09:32:27,,,"ל-20 איילון צפון, יפו",,4,0,5,,,26,0,6,1652608382314,179198.28000000026,660561.9199999999
16535,JAM,,05/15/2022 09:43:45,,,6 דרום,,3,0,5,,,196,0,10,1652608382314,198978.0700000003,684316.2300000004
16536,JAM,JAM_STAND_STILL_TRAFFIC,05/15/2022 09:47:01,,,5504,,7,0,5,,,225,0,5,1652608382314,195162.16999999993,676339.7100000009
16537,WEATHERHAZARD,HAZARD_ON_ROAD_CONSTRUCTION,02/18/2021 09:27:00,אתר התארגנות - הקו הירוק של הרכבת הקלה,,,,0,0,0,,,0,0,10,1652608382315,179842.41000000015,667217.4700000007
16538,WEATHERHAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,05/15/2022 09:50:07,,,412 צפון,,6,0,5,,,67,0,5,1652608382315,183503.4500000002,656610.75
16539,ROAD_CLOSED,ROAD_CLOSED_EVENT,05/08/2022 13:00:00,,,ל- שד רבין,,4,0,0,,,0,0,6,1652608382315,177026.16000000015,654423.5800000001
16540,JAM,JAM_STAND_STILL_TRAFFIC,05/15/2022 09:50:48,,רמת גן,יכין,,1,0,5,,,310,0,5,1652608382316,181939.70999999996,665344.9900000002
16541,JAM,JAM_STAND_STILL_TRAFFIC,05/15/2022 09:46:16,,רמת גן,ביאליק,,2,0,5,,,276,0,5,1652608382316,181972.4400000004,666028.7400000002
16542,ROAD_CLOSED,ROAD_CLOSED_EVENT,05/14/2022 21:00:04,,כפר סבא,בן גוריון,,2,0,0,,,0,0,6,1652608382316,191566.1299999999,675454.4299999997
16543,JAM,JAM_STAND_STILL_TRAFFIC,05/15/2022 09:22:02,,,4 צפון,,3,0,2,,,69,0,7,1652608382316,179468.63999999966,651945.3300000001
