OBJECTID,linqmap_type,linqmap_subtype,pubDate,linqmap_reportDescription,linqmap_city,linqmap_street,linqmap_nearby,linqmap_roadType,linqmap_reportMood,linqmap_reportRating,linqmap_expectedBeginDate,linqmap_expectedEndDate,linqmap_magvar,nComments,linqmap_reliability,update_date,x,y,test_set
94015,ROAD_CLOSED,ROAD_CLOSED_EVENT,04/22/2022 12:08:20,,תל אביב - יפו,שתולים,,1,0,0,,,0,0,10,1653472382741,180770.2999999998,661493.5800000001,0
94020,ROAD_CLOSED,ROAD_CLOSED_EVENT,08/12/2021 14:00:04,,תל אביב - יפו,בן סרוק,,1,0,0,,,0,0,10,1653472382744,179694.4400000004,665825.2200000007,0
94024,ROAD_CLOSED,ROAD_CLOSED_EVENT,02/10/2022 11:37:09,,תל אביב - יפו,ארלוזורוב,,2,0,0,,,0,0,10,1653472382745,178909.51999999955,666038.7699999996,0
94025,JAM,JAM_HEAVY_TRAFFIC,05/25/2022 09:38:18,,תל אביב - יפו,עולי ציון,,2,0,5,,,317,0,7,1653472382745,177196.38999999966,662261.2599999998,0
94201,ROAD_CLOSED,ROAD_CLOSED_EVENT,02/03/2022 09:20:12,,תל אביב - יפו,,,2,0,0,,,0,0,10,1653472382810,179075.4500000002,663147.9499999993,1
94206,ROAD_CLOSED,ROAD_CLOSED_EVENT,02/06/2022 09:05:17,,תל אביב - יפו,שד ירושלים,,2,0,0,,,0,0,10,1653472382811,177386.4299999997,662058.9399999995,1
94207,JAM,JAM_HEAVY_TRAFFIC,05/25/2022 09:43:11,,תל אביב - יפו,סירקין,,1,0,5,,,36,0,5,1653472382812,178516.71999999974,665223.5299999993,1
94211,ROAD_CLOSED,ROAD_CLOSED_EVENT,02/03/2022 09:20:12,,תל אביב - יפו,,,2,0,0,,,0,0,10,1653472382813,179107.7000000002,663112.9000000004,1
94479,WEATHERHAZARD,HAZARD_ON_ROAD_CAR_STOPPED,05/25/2022 09:12:37,,תל אביב - יפו,דרך חיל השריון,,2,0,5,,,184,0,10,1653472382902,179677.3200000003,662458.0399999991,2
97015,JAM,JAM_STAND_STILL_TRAFFIC,05/25/2022 10:42:30,,תל אביב - יפו,שינקין,,2,0,5,,,104,0,6,1653475982594,178969.45999999996,664018.75,2
